Wavelength (nm)	Normal incidence	30 deg incidence		40 deg incidence		50 deg incidence		60 deg incidence		70 deg incidence	
		S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization	S-polarization	P-polarization
529	28.4184	33.4917	24.585	37.9987	21.6406	44.5469	18.2274	53.6883	15.7769	65.9174	19.3385
530	28.5046	33.5828	24.6635	38.092	21.7125	44.6402	18.2897	53.7765	15.8249	65.9908	19.3653
531	28.5908	33.6737	24.7419	38.1851	21.7844	44.7334	18.352	53.8645	15.8728	66.064	19.3922
532	28.6767	33.7644	24.8201	38.2779	21.856	44.8263	18.4141	53.9521	15.9207	66.1369	19.4191
533	28.7625	33.8549	24.8983	38.3706	21.9277	44.919	18.4763	54.0396	15.9687	66.2096	19.4461
534	28.8482	33.9453	24.9764	38.4631	21.9993	45.0115	18.5384	54.1268	16.0166	66.2821	19.4731
535	28.9338	34.0355	25.0544	38.5554	22.0708	45.1037	18.6004	54.2137	16.0646	66.3544	19.5002
536	29.0193	34.1256	25.1323	38.6475	22.1423	45.1958	18.6625	54.3005	16.1126	66.4265	19.5274
537	29.1046	34.2155	25.2101	38.7395	22.2137	45.2877	18.7245	54.3871	16.1605	66.4983	19.5547
538	29.1898	34.3052	25.2878	38.8312	22.285	45.3793	18.7865	54.4734	16.2086	66.5699	19.5822
539	29.275	34.3949	25.3655	38.9229	22.3563	45.4709	18.8486	54.5596	16.2567	66.6415	19.6097
540	29.3599	34.4844	25.4431	39.0144	22.4276	45.5622	18.9105	54.6455	16.3048	66.7127	19.6373
541	29.4449	34.5738	25.5206	39.1057	22.4988	45.6534	18.9725	54.7313	16.353	66.7839	19.6651
