#Average polarization				Separate polarizations						
#Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75 incidence reflectance"
492.916992	0.344354	0.337823	0.41636	492.916992	0.106958	0.58175	0.009824	0.665822	0.069797	0.762924
494.508057	0.344279	0.33781	0.416726	494.508057	0.10672	0.581839	0.009681	0.665939	0.070048	0.763405
496.099182	0.344397	0.338315	0.417202	496.099182	0.106403	0.58239	0.009582	0.667049	0.070208	0.764195
497.690247	0.344856	0.338975	0.418338	497.690247	0.106518	0.583194	0.009454	0.668496	0.07063	0.766046
499.281311	0.344283	0.338263	0.41766	499.281311	0.106306	0.582259	0.009415	0.667111	0.070817	0.764502
500.872314	0.343248	0.337908	0.41679	500.872314	0.105481	0.581016	0.009343	0.666473	0.070905	0.762675
502.463379	0.3429	0.337282	0.415521	502.463379	0.105472	0.580327	0.009221	0.665344	0.070562	0.76048
504.054382	0.342949	0.336886	0.415118	504.054382	0.105311	0.580588	0.009038	0.664734	0.070685	0.75955
505.645416	0.343203	0.337766	0.417509	505.645416	0.10496	0.581446	0.009014	0.666518	0.071348	0.763671
507.23642	0.342605	0.337371	0.417374	507.23642	0.104615	0.580595	0.008896	0.665846	0.071314	0.763435
508.827454	0.342005	0.33753	0.417625	508.827454	0.10426	0.57975	0.008885	0.666174	0.071695	0.763555
510.418457	0.341505	0.337324	0.417592	510.418457	0.103965	0.579046	0.008766	0.665882	0.071847	0.763337
512.009399	0.341597	0.337731	0.417928	512.009399	0.10369	0.579504	0.008751	0.666711	0.072209	0.763647
513.600403	0.342137	0.338224	0.418616	513.600403	0.103595	0.580678	0.008638	0.667809	0.072704	0.764528
515.191345	0.341114	0.337605	0.418267	515.191345	0.103111	0.579116	0.008546	0.666664	0.072656	0.763878
516.782288	0.340839	0.337268	0.418537	516.782288	0.102869	0.57881	0.00838	0.666156	0.072915	0.76416
518.37323	0.340973	0.336885	0.418915	518.37323	0.102941	0.579005	0.008354	0.665417	0.073273	0.764556
519.964172	0.340294	0.33675	0.418278	519.964172	0.102096	0.578493	0.008298	0.665202	0.073309	0.763247
521.555054	0.339517	0.336208	0.417956	521.555054	0.101689	0.577344	0.00812	0.664296	0.073452	0.762459
523.145935	0.339197	0.336193	0.418921	523.145935	0.101714	0.576681	0.008103	0.664283	0.073715	0.764128
524.736877	0.339419	0.337408	0.419556	524.736877	0.101511	0.577326	0.008056	0.666759	0.074113	0.764999
526.327759	0.339464	0.336426	0.418633	526.327759	0.10117	0.577759	0.007912	0.66494	0.074275	0.762991
527.918579	0.337931	0.335292	0.417815	527.918579	0.100695	0.575167	0.007852	0.662732	0.074184	0.761445
529.509399	0.338564	0.335721	0.41852	529.509399	0.100658	0.576471	0.007748	0.663694	0.074511	0.762529
531.10022	0.339167	0.3364	0.419327	531.10022	0.100204	0.57813	0.007756	0.665043	0.074715	0.763939
532.69104	0.337893	0.336084	0.419763	532.69104	0.099713	0.576072	0.007655	0.664514	0.075376	0.76415
534.28186	0.337812	0.335961	0.419946	534.28186	0.099641	0.575983	0.007552	0.664371	0.075412	0.764481
535.872681	0.337937	0.335279	0.419943	535.872681	0.099473	0.576401	0.007507	0.663051	0.07573	0.764156
537.463379	0.337369	0.334805	0.41979	537.463379	0.099189	0.575549	0.007342	0.662269	0.075887	0.763692
