Average polarization				Separate polarizations
Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75incidence reflectance"
491.325867	0.358085	0.392062	0.397535	491.325867	0.126123	0.590047	0.041362	0.742763	0.008196	0.786875
492.916992	0.357949	0.391455	0.397581	492.916992	0.125982	0.589916	0.04122	0.74169	0.008388	0.786774
494.508057	0.357146	0.390832	0.398023	494.508057	0.125738	0.588555	0.040912	0.740752	0.008618	0.787429
496.099182	0.35702	0.390995	0.39832	496.099182	0.125461	0.58858	0.040529	0.74146	0.008773	0.787867
497.690247	0.356726	0.390069	0.397468	497.690247	0.124947	0.588506	0.040507	0.73963	0.00884	0.786096
499.281311	0.355685	0.389681	0.39681	499.281311	0.12442	0.586951	0.040064	0.739299	0.009019	0.7846
500.872314	0.355826	0.390155	0.397538	500.872314	0.124323	0.587329	0.040217	0.740093	0.009229	0.785848
502.463379	0.355041	0.388903	0.395857	502.463379	0.123911	0.58617	0.03965	0.738157	0.009386	0.782329
504.054382	0.354896	0.389237	0.395401	504.054382	0.123695	0.586096	0.039496	0.738979	0.009547	0.781255
505.645416	0.353861	0.388965	0.395235	505.645416	0.122973	0.584749	0.039305	0.738625	0.009826	0.780643
507.23642	0.353326	0.388423	0.395334	507.23642	0.122604	0.584047	0.038944	0.737902	0.009911	0.780757
508.827454	0.353337	0.388479	0.395452	508.827454	0.12239	0.584284	0.038884	0.738073	0.010116	0.780789
510.418457	0.352613	0.387391	0.394949	510.418457	0.122126	0.583101	0.03851	0.736272	0.010284	0.779613
512.009399	0.352147	0.386828	0.394742	512.009399	0.12181	0.582485	0.038271	0.735385	0.010528	0.778956
513.600403	0.351892	0.386656	0.394402	513.600403	0.12151	0.582274	0.037911	0.735401	0.010834	0.777969
515.191345	0.352065	0.387025	0.394804	515.191345	0.120958	0.583171	0.037752	0.736297	0.010931	0.778677
516.782288	0.35148	0.385406	0.394556	516.782288	0.120939	0.582022	0.037335	0.733476	0.011172	0.777941
518.37323	0.350298	0.385264	0.394335	518.37323	0.120226	0.58037	0.037424	0.733104	0.011423	0.777246
519.964172	0.350148	0.386126	0.394807	519.964172	0.119848	0.580448	0.037063	0.735189	0.011608	0.778006
521.555054	0.350286	0.385969	0.395184	521.555054	0.11975	0.580822	0.036888	0.73505	0.011828	0.778539
523.145935	0.350006	0.384663	0.395423	523.145935	0.119357	0.580656	0.036787	0.732538	0.012056	0.77879
524.736877	0.349285	0.384192	0.395618	524.736877	0.11895	0.57962	0.036384	0.732001	0.012319	0.778916
526.327759	0.348076	0.383595	0.395751	526.327759	0.118233	0.577919	0.036019	0.731172	0.012573	0.778929
527.918579	0.347695	0.383345	0.395791	527.918579	0.118118	0.577273	0.035826	0.730865	0.012851	0.778731
529.509399	0.347572	0.383476	0.395436	529.509399	0.117826	0.577317	0.035765	0.731187	0.013048	0.777824
531.10022	0.347387	0.382751	0.395584	531.10022	0.117477	0.577296	0.03553	0.729972	0.013229	0.77794
532.69104	0.346976	0.381884	0.395176	532.69104	0.117306	0.576647	0.035206	0.728562	0.013427	0.776925
534.28186	0.345984	0.380635	0.394922	534.28186	0.116721	0.575248	0.035075	0.726196	0.013639	0.776204
535.872681	0.345745	0.381127	0.39638	535.872681	0.116344	0.575146	0.034911	0.727342	0.013992	0.778768
537.463379	0.345667	0.382002	0.397622	537.463379	0.115944	0.575389	0.034832	0.729173	0.014251	0.780992
