Average polarization				Separate polarizations
Wavelength (nm)	55.00 deg incidence reflectance	65.00 deg incidence reflectance	75.00 deg incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 deg incidence reflectance"	"s-Intensity, 55.00 deg incidence reflectance"	"p-Intensity, 65.00 deg incidence reflectance"	"s-Intensity, 65.00 deg incidence reflectance"	"p-Intensity, 75 deg incidence reflectance"	"s-Intensity, 75 deg incidence reflectance"
338.593231	0.530387	0.548276	0.520567	338.593231	0.362084	0.69869	0.282541	0.814012	0.158649	0.882484
340.183594	0.529972	0.547904	0.520261	340.183594	0.361675	0.698269	0.281834	0.813974	0.157193	0.883328
341.773987	0.529611	0.547305	0.519471	341.773987	0.361543	0.697678	0.281106	0.813504	0.156214	0.882728
343.36441	0.528803	0.547308	0.519351	343.36441	0.360363	0.697242	0.280982	0.813635	0.15495	0.883751
344.954865	0.528908	0.547594	0.518139	344.954865	0.360492	0.697325	0.280027	0.81516	0.153618	0.882659
346.545319	0.528271	0.547401	0.517459	346.545319	0.35958	0.696963	0.279438	0.815364	0.152178	0.88274
348.135803	0.528623	0.546361	0.516644	348.135803	0.36024	0.697006	0.278933	0.813789	0.151268	0.882019
349.726288	0.527626	0.545966	0.516116	349.726288	0.359269	0.695983	0.278312	0.813619	0.150086	0.882146
351.316833	0.528065	0.545967	0.515213	351.316833	0.359415	0.696714	0.277716	0.814218	0.148937	0.88149
352.907349	0.528708	0.546396	0.515558	352.907349	0.359511	0.697905	0.277781	0.81501	0.147707	0.883409
354.497894	0.52775	0.545731	0.514952	354.497894	0.359022	0.696478	0.277832	0.81363	0.147403	0.882501
356.088501	0.528371	0.546111	0.514295	356.088501	0.359414	0.697328	0.27693	0.815292	0.146491	0.882099
357.679108	0.528423	0.545247	0.511583	357.679108	0.359458	0.697388	0.277133	0.813362	0.145196	0.877969
359.269714	0.528395	0.546337	0.513267	359.269714	0.359221	0.69757	0.277415	0.815259	0.144996	0.881539
360.860352	0.528613	0.546911	0.514767	360.860352	0.359825	0.6974	0.27782	0.816002	0.14495	0.884583
362.450989	0.529982	0.547261	0.513673	362.450989	0.360965	0.698999	0.278303	0.81622	0.144732	0.882613
364.041687	0.530805	0.54857	0.514007	364.041687	0.36168	0.699929	0.279329	0.81781	0.144302	0.883713
365.632385	0.531181	0.549479	0.514253	365.632385	0.362599	0.699762	0.279898	0.81906	0.143972	0.884534
367.223083	0.532196	0.550217	0.514557	367.223083	0.36361	0.700783	0.280563	0.819872	0.14333	0.885785
368.813782	0.533403	0.550771	0.514844	368.813782	0.364605	0.702202	0.280891	0.820651	0.14292	0.886769
370.404541	0.532697	0.550384	0.513513	370.404541	0.364006	0.701388	0.28069	0.820077	0.142134	0.884893
371.9953	0.533385	0.55098	0.513533	371.9953	0.364667	0.702103	0.281116	0.820844	0.142002	0.885063
373.58606	0.533522	0.550933	0.512984	373.58606	0.365003	0.702041	0.281385	0.820481	0.141677	0.884292
375.176849	0.534679	0.552206	0.513569	375.176849	0.36654	0.702817	0.282439	0.821973	0.14167	0.885468
376.767639	0.535794	0.552765	0.514524	376.767639	0.367464	0.704125	0.283174	0.822356	0.141706	0.887341
378.358459	0.536883	0.553576	0.514453	378.358459	0.368609	0.705156	0.28453	0.822622	0.142067	0.886838
379.94931	0.538918	0.555791	0.515606	379.94931	0.3708	0.707037	0.286041	0.825541	0.142356	0.888855
381.540161	0.539479	0.556283	0.51486	381.540161	0.371274	0.707684	0.286792	0.825774	0.141996	0.887723
383.131042	0.540767	0.558141	0.516367	383.131042	0.37304	0.708495	0.288466	0.827817	0.142501	0.890233
384.721893	0.5419	0.558685	0.516661	384.721893	0.373877	0.709922	0.289244	0.828126	0.142415	0.890907
386.312805	0.54341	0.559981	0.517041	386.312805	0.375353	0.711466	0.290002	0.82996	0.142461	0.891621
387.903687	0.543116	0.559734	0.516139	387.903687	0.375794	0.710438	0.290442	0.829025	0.142455	0.889822
389.494598	0.544037	0.561276	0.516363	389.494598	0.376329	0.711745	0.291442	0.83111	0.142235	0.890492
391.08551	0.544768	0.561803	0.516436	391.08551	0.377517	0.712019	0.292149	0.831457	0.142415	0.890456
392.676453	0.546447	0.56295	0.516822	392.676453	0.379371	0.713522	0.293424	0.832476	0.142369	0.891274
394.267426	0.547458	0.563418	0.517355	394.267426	0.379673	0.715243	0.294172	0.832664	0.142299	0.892411
395.858398	0.548418	0.564705	0.51727	395.858398	0.381165	0.71567	0.295637	0.833773	0.142807	0.891733
397.449371	0.549669	0.566199	0.518286	397.449371	0.382504	0.716833	0.29685	0.835548	0.143052	0.89352
399.040344	0.549468	0.566367	0.517219	399.040344	0.382859	0.716077	0.297832	0.834901	0.142937	0.8915
400.631348	0.550403	0.566607	0.516494	400.631348	0.384111	0.716695	0.298557	0.834656	0.143124	0.889864
402.222351	0.552802	0.568743	0.518682	402.222351	0.386355	0.71925	0.300109	0.837376	0.144062	0.893302
403.813385	0.553309	0.570106	0.519212	403.813385	0.387208	0.71941	0.30179	0.838423	0.144393	0.894031
405.404388	0.55537	0.571759	0.520249	405.404388	0.389379	0.721361	0.303499	0.840019	0.144798	0.8957
406.995422	0.5563	0.572786	0.520379	406.995422	0.390296	0.722303	0.304846	0.840726	0.14534	0.895418
408.586487	0.556927	0.573893	0.520262	408.586487	0.391723	0.722131	0.306	0.841786	0.145872	0.894651
410.177551	0.558734	0.576216	0.521335	410.177551	0.393299	0.724168	0.307749	0.844682	0.146187	0.896483
411.768616	0.560657	0.57733	0.521877	411.768616	0.395725	0.725588	0.309543	0.845117	0.146692	0.897062
413.35968	0.562413	0.579102	0.523088	413.35968	0.397017	0.727808	0.311216	0.846988	0.14711	0.899066
414.950745	0.562972	0.579633	0.523106	414.950745	0.39802	0.727925	0.312531	0.846735	0.147607	0.898605
416.54184	0.56425	0.581277	0.523265	416.54184	0.399508	0.728992	0.314157	0.848398	0.147725	0.898804
418.132904	0.564536	0.58162	0.523591	418.132904	0.400415	0.728658	0.314979	0.84826	0.148474	0.898709
419.72403	0.566446	0.583199	0.524325	419.72403	0.402468	0.730424	0.316658	0.849739	0.148792	0.899858
421.315125	0.568618	0.584522	0.524167	421.315125	0.404481	0.732755	0.318186	0.850858	0.149103	0.899232
422.90625	0.570266	0.585676	0.524608	422.90625	0.406228	0.734304	0.31913	0.852221	0.149279	0.899938
424.497375	0.57064	0.586809	0.524969	424.497375	0.406902	0.734378	0.320217	0.853401	0.149576	0.900362
426.088531	0.572032	0.588129	0.525716	426.088531	0.408717	0.735347	0.321948	0.85431	0.150139	0.901294
427.679626	0.572575	0.589267	0.525667	427.679626	0.409534	0.735616	0.323234	0.855301	0.150561	0.900773
429.270813	0.573675	0.590133	0.526049	429.270813	0.411044	0.736305	0.324398	0.855869	0.150842	0.901256
430.861908	0.574787	0.591715	0.526154	430.861908	0.412332	0.737242	0.325837	0.857593	0.151063	0.901244
432.453064	0.575827	0.592536	0.526562	432.453064	0.413266	0.738387	0.326714	0.858359	0.151601	0.901523
434.04425	0.575947	0.593082	0.526458	434.04425	0.413693	0.738202	0.327867	0.858298	0.151634	0.901282
435.635345	0.577941	0.594814	0.527315	435.635345	0.415724	0.740158	0.329389	0.860238	0.15215	0.902481
