Average polarization				Separate polarizations						
Wavelength (nm)	55.00 incidence reflectance	65.00 incidence reflectance	75.00 incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 incidence reflectance"	"s-Intensity, 55.00 incidence reflectance"	"p-Intensity, 65.00 incidence reflectance"	"s-Intensity, 65.00 incidence reflectance"	"p-Intensity, 75 incidence reflectance"	"s-Intensity, 75incidence reflectance"
437.226501	0.506488	0.39193	0.231507	437.226501	0.386149	0.626827	0.21315	0.570711	0.003073	0.45994
438.817688	0.508664	0.393123	0.233079	438.817688	0.387925	0.629403	0.213505	0.572741	0.003074	0.463085
440.408844	0.510837	0.394579	0.23388	440.408844	0.389579	0.632095	0.21427	0.574888	0.003051	0.464708
442.000061	0.511875	0.395911	0.234732	442.000061	0.390151	0.633599	0.215018	0.576805	0.002998	0.466466
443.591217	0.512862	0.39606	0.235564	443.591217	0.391181	0.634543	0.214829	0.577292	0.003012	0.468116
445.182373	0.514926	0.397802	0.237135	445.182373	0.392752	0.6371	0.215923	0.579682	0.003034	0.471237
446.773529	0.517165	0.399285	0.238074	446.773529	0.39465	0.639681	0.216767	0.581804	0.003057	0.473091
448.364685	0.519133	0.400465	0.239532	448.364685	0.396226	0.64204	0.216903	0.584027	0.002968	0.476095
449.955902	0.520799	0.401978	0.240792	449.955902	0.396952	0.644645	0.217336	0.586619	0.00296	0.478623
451.547058	0.52159	0.402841	0.241786	451.547058	0.397254	0.645926	0.217351	0.58833	0.002924	0.480648
453.138245	0.523333	0.404187	0.242652	453.138245	0.398799	0.647866	0.218149	0.590225	0.002933	0.48237
454.729431	0.524193	0.405042	0.24318	454.729431	0.399531	0.648855	0.218728	0.591355	0.002891	0.483469
456.320618	0.524877	0.405667	0.243924	456.320618	0.39987	0.649885	0.218778	0.592556	0.002901	0.484947
457.911774	0.527024	0.407066	0.245455	457.911774	0.401396	0.652653	0.218928	0.595203	0.002855	0.488055
459.502991	0.528264	0.408742	0.246601	459.502991	0.401869	0.654659	0.219906	0.597578	0.002856	0.490346
461.094147	0.529088	0.408688	0.247667	461.094147	0.402177	0.655999	0.219456	0.597919	0.002775	0.492558
462.685303	0.530885	0.410364	0.24896	462.685303	0.403768	0.658003	0.220063	0.600666	0.002775	0.495145
464.276459	0.532666	0.411564	0.250108	464.276459	0.404802	0.66053	0.220259	0.602869	0.002779	0.497436
465.867676	0.533547	0.411344	0.250996	465.867676	0.405307	0.661786	0.219827	0.60286	0.002728	0.499265
467.458832	0.534071	0.413189	0.252253	467.458832	0.405615	0.662527	0.220646	0.605733	0.002703	0.501804
469.049988	0.537305	0.41452	0.253848	469.049988	0.407957	0.666654	0.220879	0.60816	0.002696	0.505
470.641174	0.537683	0.414975	0.254179	470.641174	0.407656	0.66771	0.220376	0.609574	0.002706	0.505652
472.23233	0.538527	0.416831	0.255979	472.23233	0.408116	0.668937	0.221106	0.612555	0.002674	0.509284
473.823486	0.538909	0.417611	0.256948	473.823486	0.408701	0.669116	0.221092	0.614131	0.002641	0.511255
475.414642	0.539825	0.417712	0.258147	475.414642	0.408953	0.670698	0.22099	0.614434	0.002622	0.513672
477.005768	0.540902	0.418397	0.258736	477.005768	0.409212	0.672591	0.220988	0.615806	0.002614	0.514859
478.596924	0.542038	0.419785	0.260025	478.596924	0.409833	0.674242	0.221481	0.61809	0.002602	0.517448
480.18808	0.543115	0.420372	0.261744	480.18808	0.410318	0.675912	0.220954	0.619789	0.002581	0.520906
481.779205	0.544238	0.421155	0.262593	481.779205	0.41094	0.677536	0.220859	0.621452	0.002577	0.522609
483.3703	0.545062	0.422166	0.263844	483.3703	0.410954	0.679171	0.220903	0.623429	0.002517	0.525171
484.961487	0.547188	0.422982	0.264763	484.961487	0.411961	0.682415	0.220419	0.625546	0.002498	0.527028
486.552582	0.546479	0.422984	0.265431	486.552582	0.411471	0.681487	0.220288	0.625681	0.002466	0.528397
488.143707	0.546653	0.423697	0.266626	488.143707	0.410925	0.68238	0.219502	0.627891	0.002448	0.530803
489.734802	0.547515	0.425002	0.268077	489.734802	0.411562	0.683468	0.21996	0.630043	0.00249	0.533663
491.325867	0.547996	0.425778	0.268765	491.325867	0.411115	0.684878	0.21984	0.631717	0.002458	0.535072
492.916992	0.549703	0.426481	0.271077	492.916992	0.412598	0.686809	0.219541	0.633421	0.002457	0.539697
494.508057	0.55109	0.426643	0.271593	494.508057	0.413173	0.689006	0.218886	0.6344	0.002472	0.540713
496.099182	0.551289	0.427488	0.272472	496.099182	0.412566	0.690012	0.218693	0.636284	0.002438	0.542506
497.690247	0.550755	0.427	0.273139	497.690247	0.412012	0.689499	0.218174	0.635825	0.002427	0.543851
499.281311	0.551724	0.427631	0.274179	499.281311	0.412624	0.690824	0.21766	0.637602	0.002447	0.545911
500.872314	0.553118	0.428898	0.276018	500.872314	0.413268	0.692967	0.217327	0.640468	0.002401	0.549635
502.463379	0.553103	0.428639	0.276005	502.463379	0.412214	0.693991	0.217066	0.640212	0.002407	0.549604
504.054382	0.552483	0.428798	0.276878	504.054382	0.411518	0.693448	0.216105	0.641491	0.002429	0.551327
505.645416	0.553255	0.430443	0.27856	505.645416	0.411044	0.695465	0.216303	0.644584	0.00239	0.55473
507.23642	0.554123	0.430707	0.278943	507.23642	0.411771	0.696476	0.215958	0.645455	0.002401	0.555486
508.827454	0.555996	0.430902	0.281119	508.827454	0.412522	0.69947	0.215315	0.646489	0.002383	0.559856
510.418457	0.557623	0.432068	0.283127	510.418457	0.413244	0.702002	0.21509	0.649046	0.002419	0.563836
512.009399	0.555769	0.432644	0.283584	512.009399	0.411322	0.700216	0.214807	0.65048	0.002376	0.564792
513.600403	0.555414	0.432473	0.284113	513.600403	0.410504	0.700324	0.213824	0.651122	0.002337	0.565889
515.191345	0.555153	0.433869	0.284509	515.191345	0.410052	0.700255	0.213729	0.654008	0.00236	0.566658
516.782288	0.555518	0.434209	0.285729	516.782288	0.409588	0.701447	0.213055	0.655362	0.002388	0.56907
518.37323	0.555438	0.433883	0.286762	518.37323	0.408891	0.701985	0.212097	0.655668	0.002362	0.571162
519.964172	0.555701	0.433727	0.287684	519.964172	0.408572	0.70283	0.21114	0.656313	0.002368	0.573
521.555054	0.556647	0.435339	0.289493	521.555054	0.408842	0.704452	0.211155	0.659523	0.00237	0.576615
523.145935	0.556753	0.436088	0.289922	523.145935	0.408258	0.705248	0.210782	0.661393	0.002393	0.577451
524.736877	0.557777	0.437443	0.291233	524.736877	0.40849	0.707065	0.210652	0.664235	0.002378	0.580089
526.327759	0.557546	0.438859	0.292187	526.327759	0.407627	0.707464	0.210206	0.667512	0.002415	0.58196
527.918579	0.557953	0.439096	0.29282	527.918579	0.407173	0.708733	0.209538	0.668655	0.002423	0.583217
529.509399	0.557906	0.438822	0.294369	529.509399	0.406306	0.709507	0.208824	0.668821	0.002411	0.586328
531.10022	0.558437	0.437652	0.2958	531.10022	0.406221	0.710653	0.207033	0.668271	0.002421	0.589179
532.69104	0.558774	0.436067	0.296959	532.69104	0.405914	0.711634	0.205503	0.66663	0.002432	0.591486
534.28186	0.560058	0.435324	0.298632	534.28186	0.406208	0.713909	0.204151	0.666496	0.002422	0.594841
535.872681	0.560146	0.436762	0.299622	535.872681	0.405547	0.714746	0.203949	0.669574	0.002479	0.596765
537.463379	0.558627	0.437543	0.299771	537.463379	0.403745	0.713509	0.203466	0.67162	0.002459	0.597084
539.054138	0.559187	0.438286	0.30005	539.054138	0.402974	0.7154	0.203173	0.673398	0.002466	0.597634
540.644897	0.560314	0.437885	0.302149	540.644897	0.403526	0.717102	0.2018	0.67397	0.002489	0.601808
542.235596	0.561239	0.439002	0.303667	542.235596	0.403503	0.718975	0.201386	0.676619	0.002521	0.604813
543.826294	0.560045	0.439293	0.303559	543.826294	0.402174	0.717916	0.200783	0.677802	0.002532	0.604587
545.416992	0.560649	0.439737	0.304738	545.416992	0.40145	0.719847	0.2003	0.679175	0.002539	0.606936
547.00769	0.560726	0.43956	0.306584	547.00769	0.401014	0.720437	0.198791	0.68033	0.002571	0.610596
548.598267	0.558796	0.439269	0.306864	548.598267	0.398657	0.718935	0.197616	0.680921	0.002593	0.611136
550.188904	0.560954	0.44028	0.309242	550.188904	0.399684	0.722225	0.197376	0.683183	0.002623	0.615861
551.779541	0.560612	0.440035	0.310108	551.779541	0.398561	0.722663	0.196224	0.683846	0.002636	0.61758
553.370117	0.5595	0.43957	0.310769	553.370117	0.397056	0.721943	0.194871	0.68427	0.002687	0.618852
554.960693	0.561474	0.440361	0.31198	554.960693	0.397423	0.725524	0.194152	0.68657	0.002697	0.621263
556.55127	0.560379	0.440382	0.312092	556.55127	0.396011	0.724747	0.193096	0.687668	0.002711	0.621474
558.141785	0.560583	0.441507	0.312586	558.141785	0.395386	0.725781	0.192929	0.690086	0.002743	0.622428
559.7323	0.560784	0.440843	0.313864	559.7323	0.39476	0.726809	0.191904	0.689782	0.002814	0.624915
561.322815	0.559825	0.44024	0.314766	561.322815	0.393248	0.726403	0.190391	0.690088	0.002843	0.626689
562.913269	0.55885	0.439996	0.316099	562.913269	0.39201	0.72569	0.189309	0.690683	0.002852	0.629345
564.503723	0.559109	0.441568	0.317334	564.503723	0.391076	0.727142	0.188946	0.694191	0.002888	0.631781
566.094116	0.559651	0.440749	0.318157	566.094116	0.390443	0.728859	0.187219	0.694278	0.002932	0.633383
567.68457	0.558408	0.439705	0.318859	567.68457	0.388494	0.728321	0.185708	0.693702	0.002968	0.634751
