Opt. Const. of B-Spline vs. nm		
nm	n	k
1056.760498	1.452794	0
1060.140625	1.452713	0
1063.521484	1.452632	0
1066.903076	1.452551	0
1070.2854	1.45247	0
1073.668213	1.452389	0
1077.051758	1.452308	0
1080.436035	1.452227	0
1083.820923	1.452146	0
1087.206543	1.452065	0
1090.592773	1.451985	0
1093.979736	1.451904	0
1097.36731	1.451823	0
1100.755615	1.451743	0
1104.144531	1.451662	0
1107.53418	1.451581	0
1110.924438	1.4515	0
1114.31543	1.45142	0
1117.707031	1.451339	0
1121.099365	1.451258	0
1124.49231	1.451178	0
1127.885986	1.451097	0
1131.280273	1.451016	0
1134.675293	1.450935	0
1138.070923	1.450854	0
1141.467285	1.450773	0
1144.864258	1.450692	0
1148.261963	1.450611	0
1151.660278	1.45053	0
1155.059326	1.450449	0
1158.458984	1.450367	0
1161.859253	1.450286	0
1165.260376	1.450204	0
1168.661987	1.450123	0
1172.064453	1.450041	0
1175.467529	1.449959	0
1178.871216	1.449877	0
1182.275635	1.449795	0
1185.680664	1.449713	0
1189.086304	1.449631	0
1192.492798	1.449548	0
1195.89978	1.449466	0
1199.307617	1.449383	0
1202.716064	1.449301	0
1206.125122	1.449218	0
1209.534912	1.449135	0
1212.945313	1.449051	0
1216.356445	1.448968	0
1219.768188	1.448885	0
1223.180664	1.448801	0
1226.59375	1.448718	0
1230.007568	1.448634	0
1233.421997	1.44855	0
1236.837158	1.448466	0
1240.25293	1.448382	0
1243.669434	1.448297	0
1247.086548	1.448213	0
1250.504395	1.448128	0
1253.922852	1.448043	0
1257.342041	1.447958	0
1260.761841	1.447873	0
1264.182373	1.447788	0
1267.603516	1.447703	0
1271.025391	1.447617	0
1274.447998	1.447532	0
1277.871094	1.447446	0
1281.294922	1.44736	0
1284.719482	1.447274	0
1288.144775	1.447188	0
1291.570557	1.447102	0
1294.997192	1.447015	0
1298.424316	1.446929	0
1301.852295	1.446842	0
1305.280762	1.446755	0
1308.710083	1.446668	0
1312.139893	1.446581	0
1315.570557	1.446493	0
1319.001709	1.446406	0
1322.433716	1.446318	0
1325.866333	1.446231	0
1329.299561	1.446143	0
1332.733521	1.446055	0
1336.168091	1.445967	0
1339.603271	1.445879	0
1343.039307	1.445791	0
1346.47583	1.445702	0
1349.913208	1.445614	0
1353.351196	1.445526	0
1356.789795	1.445438	0
1360.229126	1.445349	0
1363.669189	1.445261	0
1367.109741	1.445172	0
1370.551025	1.445084	0
1373.993042	1.444996	0
1377.435791	1.444907	0
1380.87915	1.444819	0
1384.322998	1.444731	0
1387.767822	1.444642	0
1391.213135	1.444554	0
1394.65918	1.444466	0
1398.105835	1.444378	0
1401.553223	1.44429	0
1405.001221	1.444202	0
1408.449951	1.444114	0
1411.899292	1.444027	0
1415.349365	1.443939	0
1418.800049	1.443852	0
1422.251465	1.443764	0
1425.703491	1.443677	0
1429.15625	1.44359	0
1432.609619	1.443503	0
1436.063721	1.443416	0
1439.518555	1.443329	0
1442.973877	1.443243	0
1446.430054	1.443156	0
1449.886841	1.44307	0
1453.344238	1.442984	0
1456.802368	1.442898	0
1460.261108	1.442812	0
1463.720581	1.442726	0
1467.180786	1.442641	0
1470.641479	1.442556	0
1474.103027	1.442471	0
1477.565186	1.442386	0
1481.027954	1.442301	0
1484.491455	1.442217	0
1487.955566	1.442132	0
1491.42041	1.442048	0
1494.885986	1.441964	0
1498.352051	1.441881	0
1501.81897	1.441797	0
1505.286377	1.441714	0
1508.754639	1.441631	0
1512.223389	1.441548	0
1515.692993	1.441466	0
1519.163208	1.441383	0
1522.634033	1.441301	0
1526.105591	1.441219	0
1529.577881	1.441138	0
1533.050659	1.441056	0
1536.52417	1.440975	0
1539.998413	1.440894	0
1543.473389	1.440813	0
1546.948975	1.440733	0
1550.425171	1.440653	0
1553.9021	1.440573	0
1557.379639	1.440493	0
1560.85791	1.440414	0
1564.336792	1.440334	0
1567.816528	1.440256	0
1571.296753	1.440177	0
1574.777588	1.440098	0
1578.259277	1.44002	0
1581.741577	1.439942	0
1585.224487	1.439865	0
1588.708252	1.439787	0
1592.192505	1.43971	0
1595.67749	1.439633	0
1599.163086	1.439557	0
1602.649414	1.43948	0
1606.136475	1.439404	0
1609.624023	1.439328	0
1613.112427	1.439253	0
1616.601318	1.439178	0
1620.091064	1.439103	0
1623.581299	1.439028	0
1627.072388	1.438954	0
1630.564087	1.438879	0
1634.056396	1.438805	0
1637.549561	1.438732	0
1641.043213	1.438659	0
1644.537476	1.438586	0
1648.032593	1.438513	0
1651.52832	1.43844	0
1655.024658	1.438368	0
1658.521729	1.438296	0
1662.019531	1.438224	0
1665.517944	1.438153	0
1669.016968	1.438082	0
1672.516846	1.438011	0
1676.017212	1.43794	0
1679.518188	1.43787	0
1683.019897	1.4378	0
1686.522461	1.43773	0
